# gunzip -c exp/mono_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Mon Apr 29 15:18:57 AEST 2019
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,16.4,39) frames.
At utterance end, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (14,20.4,57) frames.
Overall, nonsilence accounts for 94.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,16) frames.
Overall, cl accounts for 9.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,10) frames.
Overall, sil accounts for 5.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,18.3,52) frames.
Overall, ix accounts for 5.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.1,7) frames.
Overall, vcl accounts for 5.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,9) frames.
Overall, n accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,11) frames.
Overall, s accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.2,20) frames.
Overall, r accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,13) frames.
Overall, iy accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,18) frames.
Overall, l accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,15) frames.
Overall, ih accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,12) frames.
Overall, er accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,18) frames.
Overall, t accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,10) frames.
Overall, k accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.1,10) frames.
Overall, ax accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,7) frames.
Overall, m accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,13) frames.
Overall, z accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,17) frames.
Overall, eh accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,14) frames.
Overall, p accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.9,12) frames.
Overall, d accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,6) frames.
Overall, dh accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,9) frames.
Overall, ae accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.3,20) frames.
Overall, aa accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.2,19) frames.
Overall, ah accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,14) frames.
Overall, ey accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.5,21) frames.
Overall, w accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,16) frames.
Overall, f accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,17) frames.
Overall, b accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,7) frames.
