# gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false "gmm-boost-silence --boost=1.0 1 exp/tri1/30.mdl - |" "ark:gunzip -c exp/tri1/fsts.8.gz|" "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split10/8/utt2spk scp:data/train/split10/8/cmvn.scp scp:data/train/split10/8/feats.scp ark:- | add-deltas  ark:- ark:- |" "ark:|gzip -c >exp/tri1/ali.8.gz" 
# Started at Mon Apr 29 15:19:12 AEST 2019
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false 'gmm-boost-silence --boost=1.0 1 exp/tri1/30.mdl - |' 'ark:gunzip -c exp/tri1/fsts.8.gz|' 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split10/8/utt2spk scp:data/train/split10/8/cmvn.scp scp:data/train/split10/8/feats.scp ark:- | add-deltas  ark:- ark:- |' 'ark:|gzip -c >exp/tri1/ali.8.gz' 
gmm-boost-silence --boost=1.0 1 exp/tri1/30.mdl - 
LOG (gmm-boost-silence[5.5.294-06484]:main():gmm-boost-silence.cc:93) Boosted weights for 3 pdfs, by factor of 1
LOG (gmm-boost-silence[5.5.294-06484]:main():gmm-boost-silence.cc:103) Wrote model to -
apply-cmvn --utt2spk=ark:data/train/split10/8/utt2spk scp:data/train/split10/8/cmvn.scp scp:data/train/split10/8/feats.scp ark:- 
add-deltas ark:- ark:- 
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMGG0_SI1079
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMGG0_SI1709
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMGG0_SI2339
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMGG0_SX179
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMGG0_SX269
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMGG0_SX359
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMGG0_SX449
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMGG0_SX89
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMLM0_SI1527
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMLM0_SI2150
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMLM0_SI897
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMLM0_SX177
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMLM0_SX267
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMLM0_SX357
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMLM0_SX447
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMLM0_SX87
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMPM0_SI1061
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMPM0_SI1691
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMPM0_SI2321
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMPM0_SX161
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMPM0_SX251
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMPM0_SX341
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMPM0_SX431
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMPM0_SX71
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMVP0_SI1284
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMVP0_SI1914
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMVP0_SI654
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMVP0_SX114
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMVP0_SX204
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMVP0_SX294
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMVP0_SX347
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMVP0_SX384
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWB0_SI1619
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWB0_SI2249
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWB0_SI989
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWB0_SX179
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWB0_SX269
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWB0_SX359
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWB0_SX449
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWB0_SX89
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWS0_SI1518
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWS0_SI559
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWS0_SI888
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWS0_SX168
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWS0_SX258
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWS0_SX348
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWS0_SX438
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWS0_SX78
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWS1_SI1071
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWS1_SI1701
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWS1_SI2331
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWS1_SX261
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWS1_SX27
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWS1_SX351
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWS1_SX441
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MMWS1_SX81
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MNTW0_SI1068
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MNTW0_SI1698
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MNTW0_SI2328
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MNTW0_SX168
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MNTW0_SX202
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MNTW0_SX258
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MNTW0_SX348
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MNTW0_SX78
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPAR0_SI1576
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPAR0_SI2206
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPAR0_SI946
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPAR0_SX136
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPAR0_SX226
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPAR0_SX316
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPAR0_SX406
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPAR0_SX46
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGR1_SI1269
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGR1_SI1499
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGR1_SI2129
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGR1_SX149
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGR1_SX239
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGR1_SX329
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGR1_SX419
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGR1_SX59
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPMB0_SI1501
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPMB0_SI2131
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPMB0_SI871
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPMB0_SX151
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPMB0_SX241
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPMB0_SX331
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPMB0_SX421
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPMB0_SX61
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRD0_SI1431
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRD0_SI2061
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRD0_SI801
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRD0_SX171
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRD0_SX261
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRD0_SX351
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRD0_SX441
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRD0_SX81
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRAM0_SI1275
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRAM0_SI1905
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRAM0_SI1951
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRAM0_SX105
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRAM0_SX15
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRAM0_SX195
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRAM0_SX285
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRAM0_SX375
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRAV0_SI1008
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRAV0_SI1638
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRAV0_SI2268
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRAV0_SX108
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRAV0_SX18
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRAV0_SX198
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRAV0_SX288
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRAV0_SX378
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRBC0_SI1665
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRBC0_SI1859
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRBC0_SI599
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRBC0_SX149
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRBC0_SX239
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRBC0_SX329
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRBC0_SX419
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRBC0_SX59
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRDS0_SI1167
LOG (apply-cmvn[5.5.294-06484]:main():apply-cmvn.cc:162) Applied cepstral mean normalization to 128 utterances, errors on 0
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRDS0_SI1797
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRDS0_SI537
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRDS0_SX177
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRDS0_SX267
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRDS0_SX357
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRDS0_SX447
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRDS0_SX87
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:135) Overall log-likelihood per frame is -92.8661 over 39931 frames.
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:137) Retried 0 out of 128 utterances.
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:139) Done 128, errors on 0
# Accounting: time=1 threads=1
# Ended (code 0) at Mon Apr 29 15:19:13 AEST 2019, elapsed time 1 seconds
