# compile-train-graphs --read-disambig-syms=data/lang/phones/disambig.int exp/tri1_ali/tree exp/tri1_ali/final.mdl data/lang/L.fst "ark:utils/sym2int.pl --map-oov 38 -f 2- data/lang/words.txt data/train/split10/1/text|" ark:- | gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false "gmm-boost-silence --boost=1.0 1 exp/tri1_ali/final.mdl - |" ark:- "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split10/1/utt2spk scp:data/train/split10/1/cmvn.scp scp:data/train/split10/1/feats.scp ark:- | add-deltas  ark:- ark:- |" "ark,t:|gzip -c >exp/tri1_ali/ali.1.gz" 
# Started at Mon Apr 29 12:56:48 AEST 2019
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false 'gmm-boost-silence --boost=1.0 1 exp/tri1_ali/final.mdl - |' ark:- 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split10/1/utt2spk scp:data/train/split10/1/cmvn.scp scp:data/train/split10/1/feats.scp ark:- | add-deltas  ark:- ark:- |' 'ark,t:|gzip -c >exp/tri1_ali/ali.1.gz' 
compile-train-graphs --read-disambig-syms=data/lang/phones/disambig.int exp/tri1_ali/tree exp/tri1_ali/final.mdl data/lang/L.fst 'ark:utils/sym2int.pl --map-oov 38 -f 2- data/lang/words.txt data/train/split10/1/text|' ark:- 
gmm-boost-silence --boost=1.0 1 exp/tri1_ali/final.mdl - 
LOG (gmm-boost-silence[5.5.294-06484]:main():gmm-boost-silence.cc:93) Boosted weights for 3 pdfs, by factor of 1
LOG (gmm-boost-silence[5.5.294-06484]:main():gmm-boost-silence.cc:103) Wrote model to -
add-deltas ark:- ark:- 
apply-cmvn --utt2spk=ark:data/train/split10/1/utt2spk scp:data/train/split10/1/cmvn.scp scp:data/train/split10/1/feats.scp ark:- 
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FALK0_SI1086
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FALK0_SI456
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FALK0_SI658
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FALK0_SX186
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FALK0_SX276
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FALK0_SX366
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FALK0_SX6
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FALK0_SX96
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FALR0_SI1325
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FALR0_SI1955
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FALR0_SI695
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FALR0_SX155
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FALR0_SX245
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FALR0_SX335
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FALR0_SX425
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FALR0_SX65
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAPB0_SI1063
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAPB0_SI1693
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAPB0_SI2323
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAPB0_SX163
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAPB0_SX253
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAPB0_SX343
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAPB0_SX433
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAPB0_SX73
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBAS0_SI1387
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBAS0_SI1472
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBAS0_SI2066
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBAS0_SX127
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBAS0_SX217
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBAS0_SX307
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBAS0_SX37
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBAS0_SX397
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBCG1_SI1612
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBCG1_SI2242
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBCG1_SI982
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBCG1_SX172
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBCG1_SX262
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBCG1_SX352
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBCG1_SX442
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBCG1_SX82
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBCH0_SI1586
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBCH0_SI956
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBCH0_SI959
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBCH0_SX146
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBCH0_SX236
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBCH0_SX326
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBCH0_SX416
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBCH0_SX56
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBJL0_SI1552
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBJL0_SI2182
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBJL0_SI922
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBJL0_SX112
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBJL0_SX202
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBJL0_SX22
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBJL0_SX292
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBJL0_SX382
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBLV0_SI1058
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBLV0_SI1688
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBLV0_SI2318
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBLV0_SX158
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBLV0_SX248
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBLV0_SX338
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBLV0_SX428
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBLV0_SX68
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FBMH0_SI1136
